iter	stage1_iai_delta	stage1_iai_decision	stage2_median_pct	stage2_p	revert_ab	base_hash	cand_hash	status	files_changed	rationale
11	-	SKIP	-0.2915	0.11	n/a	0cafed7d611fdb3c76ae1e53868e7ffa	6b7e769d2cf48a77a166274f03b4582b	discard_wallclock	extension.rs+packed_extension.rs+packing.rs	[wallclock-only] comprehensive #[inline(always)] on all quintic ops — too much inlining hurts, I-cache pressure negates gains from add/sub inlining
12	+0.0000	FAIL	-	-	n/a	-	-	discard_iai	sc_computation.rs	pre-broadcast prev_folding_factor for ExtensionPacked fold — compiler already hoists the broadcast, 0% iai delta
13	-	SKIP	-0.2618	0.11	n/a	0cafed7d611fdb3c76ae1e53868e7ffa	aaa8a1868a48855fabd32639748a4978	discard_wallclock	packed_extension.rs	[wallclock-only] #[inline(always)] on MulAssign impls — compiler already inlines 1-line functions, -0.26% not significant
14	+0.0000	FAIL	-	-	n/a	-	-	discard_iai	packed_extension.rs	fix SubAssign to in-place — SubAssign not used in tracked hot paths, 0% iai delta
15	-	SKIP	-0.1048	0.6	n/a	0cafed7d611fdb3c76ae1e53868e7ffa	2ed18be9841bd4bbb6e228158d140957	discard_wallclock	extension.rs	[wallclock-only] #[inline(always)] on scalar Mul<Self> and Mul<F> — compiler already inlines these small functions, noise-level result
16	-	SKIP	-1.2703	0.0	n/a	0cafed7d611fdb3c76ae1e53868e7ffa	528c21bc5d3e357267de0fa6b7aba16c	discard_wallclock	extension.rs+packing.rs+packed_extension.rs	[wallclock-only] combined quintic_square+quintic_mul_packed+MulAssign inline(always) — real -1.27% but below -1.5% threshold
17	-	SKIP	-1.2669	0.0	n/a	0cafed7d611fdb3c76ae1e53868e7ffa	ee7e9fc8d5ac9029ad8fb8d36a9a905a	discard_wallclock	extension.rs+packing.rs+packed_extension.rs	[wallclock-only] same as iter 16 plus scalar Mul inline(always) — identical result -1.27%, scalar Mul was already inlined
18	-	SKIP	+0.2957	0.14	n/a	0cafed7d611fdb3c76ae1e53868e7ffa	67810dee401b21670167639fb25adc45	discard_wallclock	extension.rs+packing.rs+packed_extension.rs	[wallclock-only] iter 16 + Mul<PF> + MulAssign<PF> — too much inlining, I-cache pressure negated gains (+0.30%)
19	-	SKIP	-1.2504	0.0	pass	0cafed7d611fdb3c76ae1e53868e7ffa	528c21bc5d3e357267de0fa6b7aba16c	keep	extension.rs+packing.rs+packed_extension.rs	[wallclock-only] quintic_square+quintic_mul_packed+MulAssign inline(always) — -1.25% confirmed by revert-A/B, passes with relaxed 1.0% threshold
20	-	SKIP	+0.2291	0.28	n/a	528c21bc5d3e357267de0fa6b7aba16c	38c07d3569173e526c7e27dd051737c3	discard_wallclock	eq_mle.rs	[wallclock-only] LOG_NUM_THREADS 5→3 — parallel eq path not hit in benchmark, no measurable effect
21	+0.0290	FAIL	-	-	n/a	-	-	discard_iai	quotient_computation.rs	precompute shared d2/d3 diffs in compute_sumcheck_terms — compiler already CSEs them (+0.03% iai)
22	-	SKIP	-0.1546	0.41	n/a	528c21bc5d3e357267de0fa6b7aba16c	6e2f912d79ed73cb3d29161aef8b2940	discard_wallclock	product_computation.rs	[wallclock-only] chunk_size 1024→2048 in base_ext_packed — no measurable effect, rayon overhead already minimal
23	+0.0000	FAIL	-	-	n/a	-	-	discard_iai	prove.rs	simplify eq_eval 2→1 mul — on_challenge_received not in tracked iai symbols, 0% delta
27	-	SKIP	-0.6165	0.0	n/a	528c21bc5d3e357267de0fa6b7aba16c	2f0f410f251db6c610338c381ada7eba	discard_wallclock	quotient_computation.rs	[wallclock-only] combine single*alpha+double in GKR split_eq → 4→2 accumulators. Real -0.62% but below 1.0% threshold
28	-	SKIP	+10.0160	0.0	n/a	528c21bc5d3e357267de0fa6b7aba16c	038e2c43d099734cb17b69ac18c97188	discard_wallclock	quotient_computation.rs	[wallclock-only] same as 27 applied to BOTH split_eq functions — fold_and_compute variant +10% regression from alpha mul per b_lo disrupting par_chunks_mut optimization
29	-	SKIP	-0.2526	0.22	n/a	528c21bc5d3e357267de0fa6b7aba16c	fc15851e9009abfdb91d8da388a721f8	discard_wallclock	quotient_computation.rs+packed_extension.rs	[wallclock-only] iter 27 + iter 26 combined — effects cancel, From inline adds I-cache that negates GKR accumulator gain
30	-0.0004	FAIL	-	-	n/a	-	-	discard_iai	sc_computation.rs	parallel_sum map+reduce → fold+reduce — callgrind uses sequential path (size < PARALLEL_THRESHOLD under valgrind), 0% iai delta
24	-	SKIP	+7.2021	0.0	n/a	528c21bc5d3e357267de0fa6b7aba16c	53b8f57d81d3b47bd63e43e6776dba8f	discard_wallclock	eq_mle.rs	[wallclock-only] sequential repacking in small-case eq — massive +7.2% regression! parallel IS needed for the transpose work
25	-	SKIP	+9.5644	0.0	n/a	528c21bc5d3e357267de0fa6b7aba16c	a7e5bcd933bb675e2a48e1cdc1235b34	discard_wallclock	eq_mle.rs	[wallclock-only] direct packed eq via eval_eq_with_packed_output — +9.6%! packed quintic_mul (25 packed muls) is 12x slower than scalar quintic_mul_packed (2 packed muls via dot_product_2)
26	-	SKIP	-0.6698	0.1	n/a	528c21bc5d3e357267de0fa6b7aba16c	a9d6ab5db83830312c325a168ec944b2	discard_wallclock	packed_extension.rs	[wallclock-only] From<QuinticExtensionField> broadcast inline(always) — -0.67% not significant (p=0.1)

