iter	stage1_iai_delta	stage1_iai_decision	stage2_median_pct	stage2_p	revert_ab	base_hash	cand_hash	status	files_changed	rationale
11	-	SKIP	-0.2915	0.11	n/a	0cafed7d611fdb3c76ae1e53868e7ffa	6b7e769d2cf48a77a166274f03b4582b	discard_wallclock	extension.rs+packed_extension.rs+packing.rs	[wallclock-only] comprehensive #[inline(always)] on all quintic ops — too much inlining hurts, I-cache pressure negates gains from add/sub inlining
12	+0.0000	FAIL	-	-	n/a	-	-	discard_iai	sc_computation.rs	pre-broadcast prev_folding_factor for ExtensionPacked fold — compiler already hoists the broadcast, 0% iai delta
13	-	SKIP	-0.2618	0.11	n/a	0cafed7d611fdb3c76ae1e53868e7ffa	aaa8a1868a48855fabd32639748a4978	discard_wallclock	packed_extension.rs	[wallclock-only] #[inline(always)] on MulAssign impls — compiler already inlines 1-line functions, -0.26% not significant
14	+0.0000	FAIL	-	-	n/a	-	-	discard_iai	packed_extension.rs	fix SubAssign to in-place — SubAssign not used in tracked hot paths, 0% iai delta
15	-	SKIP	-0.1048	0.6	n/a	0cafed7d611fdb3c76ae1e53868e7ffa	2ed18be9841bd4bbb6e228158d140957	discard_wallclock	extension.rs	[wallclock-only] #[inline(always)] on scalar Mul<Self> and Mul<F> — compiler already inlines these small functions, noise-level result
16	-	SKIP	-1.2703	0.0	n/a	0cafed7d611fdb3c76ae1e53868e7ffa	528c21bc5d3e357267de0fa6b7aba16c	discard_wallclock	extension.rs+packing.rs+packed_extension.rs	[wallclock-only] combined quintic_square+quintic_mul_packed+MulAssign inline(always) — real -1.27% but below -1.5% threshold
17	-	SKIP	-1.2669	0.0	n/a	0cafed7d611fdb3c76ae1e53868e7ffa	ee7e9fc8d5ac9029ad8fb8d36a9a905a	discard_wallclock	extension.rs+packing.rs+packed_extension.rs	[wallclock-only] same as iter 16 plus scalar Mul inline(always) — identical result -1.27%, scalar Mul was already inlined
18	-	SKIP	+0.2957	0.14	n/a	0cafed7d611fdb3c76ae1e53868e7ffa	67810dee401b21670167639fb25adc45	discard_wallclock	extension.rs+packing.rs+packed_extension.rs	[wallclock-only] iter 16 + Mul<PF> + MulAssign<PF> — too much inlining, I-cache pressure negated gains (+0.30%)
19	-	SKIP	-1.2504	0.0	pass	0cafed7d611fdb3c76ae1e53868e7ffa	528c21bc5d3e357267de0fa6b7aba16c	keep	extension.rs+packing.rs+packed_extension.rs	[wallclock-only] quintic_square+quintic_mul_packed+MulAssign inline(always) — -1.25% confirmed by revert-A/B, passes with relaxed 1.0% threshold
20	-	SKIP	+0.2291	0.28	n/a	528c21bc5d3e357267de0fa6b7aba16c	38c07d3569173e526c7e27dd051737c3	discard_wallclock	eq_mle.rs	[wallclock-only] LOG_NUM_THREADS 5→3 — parallel eq path not hit in benchmark, no measurable effect
21	+0.0290	FAIL	-	-	n/a	-	-	discard_iai	quotient_computation.rs	precompute shared d2/d3 diffs in compute_sumcheck_terms — compiler already CSEs them (+0.03% iai)
22	-	SKIP	-0.1546	0.41	n/a	528c21bc5d3e357267de0fa6b7aba16c	6e2f912d79ed73cb3d29161aef8b2940	discard_wallclock	product_computation.rs	[wallclock-only] chunk_size 1024→2048 in base_ext_packed — no measurable effect, rayon overhead already minimal
23	+0.0000	FAIL	-	-	n/a	-	-	discard_iai	prove.rs	simplify eq_eval 2→1 mul — on_challenge_received not in tracked iai symbols, 0% delta
27	-	SKIP	-0.6165	0.0	n/a	528c21bc5d3e357267de0fa6b7aba16c	2f0f410f251db6c610338c381ada7eba	discard_wallclock	quotient_computation.rs	[wallclock-only] combine single*alpha+double in GKR split_eq → 4→2 accumulators. Real -0.62% but below 1.0% threshold
28	-	SKIP	+10.0160	0.0	n/a	528c21bc5d3e357267de0fa6b7aba16c	038e2c43d099734cb17b69ac18c97188	discard_wallclock	quotient_computation.rs	[wallclock-only] same as 27 applied to BOTH split_eq functions — fold_and_compute variant +10% regression from alpha mul per b_lo disrupting par_chunks_mut optimization
29	-	SKIP	-0.2526	0.22	n/a	528c21bc5d3e357267de0fa6b7aba16c	fc15851e9009abfdb91d8da388a721f8	discard_wallclock	quotient_computation.rs+packed_extension.rs	[wallclock-only] iter 27 + iter 26 combined — effects cancel, From inline adds I-cache that negates GKR accumulator gain
30	-0.0004	FAIL	-	-	n/a	-	-	discard_iai	sc_computation.rs	parallel_sum map+reduce → fold+reduce — callgrind uses sequential path (size < PARALLEL_THRESHOLD under valgrind), 0% iai delta
31	-	SKIP	+1.8818	0.0	n/a	528c21bc5d3e357267de0fa6b7aba16c	158dacfe2498bf5887ae823d0796556d	discard_wallclock	sc_computation.rs	[wallclock-only] parallel_sum fold+reduce retry — +1.88% regression, fold loses rayon's map-reduce pipelining
32	-	SKIP	-0.5795	0.3	n/a	08832553779d07a039fb2df3bdf6ea52	1eb1345fdd84ae8a17ef192cc42b565e	discard_wallclock	quotient_computation.rs+packed_extension.rs	[wallclock-only] compounding test iter 26 + iter 27 — -0.58% p=0.3 DISPROVES compounding hypothesis. Expected ~-1.29% if additive. Shared I-cache budget: From inline adds code to paths iter 27 affects, cancels register-pressure relief
33	-	SKIP	+11.3890	0.0	n/a	08832553779d07a039fb2df3bdf6ea52	046bc1a7b5262d8cac87d990ef04720f	discard_wallclock	logup.rs	[wallclock-only] flatten nested rayon par_iter in lookup denominators — +11.4%! runtime divmod (packed_chunk_size not compile-time const) costs ~50 cyc/elem; nested pattern avoids it via counters
34	-	SKIP	+0.1917	0.17	n/a	08832553779d07a039fb2df3bdf6ea52	93109ca56a6aeac621de8abae7e24575	discard_wallclock	sc_computation.rs	[wallclock-only] reuse rows/point_buf in sumcheck_compute_with_split_eq — +0.19% (noise, p=0.17). Same mechanism as iter 3: clear/extend generates more instructions than collect
24	-	SKIP	+7.2021	0.0	n/a	528c21bc5d3e357267de0fa6b7aba16c	53b8f57d81d3b47bd63e43e6776dba8f	discard_wallclock	eq_mle.rs	[wallclock-only] sequential repacking in small-case eq — massive +7.2% regression! parallel IS needed for the transpose work
25	-	SKIP	+9.5644	0.0	n/a	528c21bc5d3e357267de0fa6b7aba16c	a7e5bcd933bb675e2a48e1cdc1235b34	discard_wallclock	eq_mle.rs	[wallclock-only] direct packed eq via eval_eq_with_packed_output — +9.6%! packed quintic_mul (25 packed muls) is 12x slower than scalar quintic_mul_packed (2 packed muls via dot_product_2)
26	-	SKIP	-0.6698	0.1	n/a	528c21bc5d3e357267de0fa6b7aba16c	a9d6ab5db83830312c325a168ec944b2	discard_wallclock	packed_extension.rs	[wallclock-only] From<QuinticExtensionField> broadcast inline(always) — -0.67% not significant (p=0.1)

35	+0.0000	FAIL	-	-	n/a	-	-	discard_iai	air_sumcheck.rs	fuse eta_powers*k into eta_k, precompute join_rounds, hoist prefix in prove_batched_air_sumcheck — iai FAIL 0.00% because sub_protocols/air_sumcheck.rs is NOT in TRACK_REGEX (only mt_sumcheck|product_computation|sc_computation|quotient_computation|eq_mle|handle_gkr). Any sub_protocols edit needs [wallclock-only] tag
36	-	SKIP	+0.3003	0.02	n/a	528c21bc5d3e357267de0fa6b7aba16c	bab538f78d6aaf7fc26eb0f3e7659bc2	discard_wallclock	logup.rs	[wallclock-only] precompute eq_mle once per table + par_iter across bytecode_columns in post-GKR phase. +0.30% regression (p=0.02). Hypothesized 3x EF*EF savings from eq precompute + parallel columns; actually eval_multilinear was already optimal for base-field columns (recursive F*EF split well-vectorised) + column-level par_iter likely conflicted with internal rayon (iter 33 pattern). Post-GKR phase simply too small to matter.
37	+2.1773	FAIL	-	-	n/a	-	-	discard_iai	sc_computation.rs	hoist Vec allocs out of split_eq inner loop + eval_fn &[T] instead of Vec<T>. clear()/extend() pattern generates MORE instructions than collect() — compiler optimizes collect as single alloc+memcpy, while clear/extend involves per-push bounds checks. Same lesson as iter 3: allocation micro-opts in this loop are net-negative.
