iter	hypothesis_id	predicted_pct	measured_pct	proof_kib	status	files_changed	rationale	diagnostic
12	h23	-2.0	-1.06	—	keep	1	Remove 16 trivially-zero Poseidon output constraints: flag_permute ≡ 0 in production (no program uses poseidon16_permute). Remove 8 flag_permute*(state-outputs_left) + 8 flag_permute*(state-outputs_right). Simplify first 4 compression constraints from degree 10 (not_permute * expr) to degree 9 (expr). n_constraints 99→83. Arnon/Chiesa/Fenzi/Yogev 2024/1586 §6.1 constraint-count/degree tradeoff.	Δ=-1.06% p=0.0 (t=-9.871). Ship-gate -15.69% vs origin/main (Criterion). Prediction -2.0% overestimated — removing 16 constraints from 99 reduces AIR eval work by ~16%, but AIR eval is only ~15% of total, and not all constraint-eval time is proportional to count (the MDS+cube rounds dominate). Net: ~2.5% of 15% ≈ 0.4% theoretical floor; measured 1.06% suggests degree-9 simplification also saves skip-eval work (4 fewer degree-10 constraints → 4 fewer full eval points needed if low_degree threshold shifts). Commit dcb4e0ca.
13	h24	-30.0	-0.32	—	discard	1	Disable glibc heap trimming via mallopt(M_TRIM_THRESHOLD,-1) + mallopt(M_MMAP_THRESHOLD,MAX) to eliminate MADV_DONTNEED page fault cycling. Standalone test: page faults 200x reduction, sys time 5x reduction, 32% wall-clock improvement. whir/utils.rs configure_allocator_for_proving() called from precompute_dft_twiddles.	Δ=-0.32% p=0.133 (noise). eval_paired.sh builds with --features zkalloc_global, which sets zk-alloc as #[global_allocator]. mallopt configures glibc's allocator, not zk-alloc — the call is a no-op when zk-alloc handles allocations. The 32% standalone improvement (glibc → glibc+mallopt) is real but irrelevant to the benchmark. CRITICAL LEARNING: always profile with the ACTUAL benchmark binary (zk-alloc enabled), not the default build. Revert 0bd12dd2.14	h28	-1.3	-1.37	—	keep	1	Eliminate flag_half_output gate: remove (1-flag_half_output) multiplicative gate from 4 output constraints (i∈{4..7}) in eval_last_2_full_rounds_16. Lowers degree_air 10→9, reducing skip-eval points from 6 to 5. Grassi et al. 2021/1167 §5.1 degree-vs-eval tradeoff + Thaler 2013/351 §3.1 (eval count = degree+1). Verified trace_gen.rs:162 already fills outputs_left = state+inputs for all rows.	Δ=-1.37% p=0.0 (t=-8.169). Ship-gate -16.56% vs origin/main (Criterion). Prediction -1.3% → measured -1.37% — excellent accuracy. Degree 10→9 saves 63 eval-units/round (8.87% of AIR eval). Effective share-arithmetic: 14.7% × 8.87% = 1.30% predicted, 1.37% measured (delta from non-AIR speedup from polynomial interpolation with fewer points). Commit 2d2af5ab.
15	h30	-25.0	+5.89	—	discard	16	GKR-based Poseidon verification: replace degree-9 AIR (109 committed cols, 83 constraints) with GKR interactive proof (degree-2, 25 committed cols, 7 constraints). poseidon_gkr crate (prove/verify/witness_gen/gkr_layers ~700 lines), modified poseidon_16/mod.rs, prove/verify_execution.rs, stacked_pcs.rs. WIP arc: 2 commits.	Δ=+5.89% p=0.0 (t=39.028). REGRESSION. Primary failure: stacked_n_vars stayed at 26 (predicted 25). 25 committed cols → 37.9M total > 2^25; only ≤8 cols would drop n_vars. The predicted -15% from halved DFT/Merkle was entirely lost. AIR degree 10→7 saved ~4-5% but GKR overhead dominated: 464-column witness gen (29 layers × 16 cols × 2^18 rows ≈ 476MB allocation), 28 sumcheck rounds, 8 MLE evaluations for perm_out. Share-arithmetic failure: -15%(DFT/Merkle) + -13%(AIR) + 3%(GKR overhead) predicted, actual 0%(DFT/Merkle) + -5%(AIR) + 11%(GKR) = +6%. CRITICAL LEARNING: GKR tradeoff only wins when committed column reduction crosses a power-of-2 threshold for stacked_n_vars. At 25 committed cols, the offset shrinks but n_vars stays the same — DFT/Merkle work unchanged. Revert 486d90de + c374e468.
16	h31	-4.0	-4.03	—	keep	3	Remove 8 dead outputs_right columns from Poseidon-16 table: flag_permute ≡ 0 ⇒ outputs_right always zero, never read by lookup. Column count 109→101, total trace 158→150 cols. Narrow 4th lookup (16→8 values). Arnon/Chiesa/Fenzi/Yogev 2024/1586 §6.1 + dead-store elimination.	Δ=-4.03% p=0.0 (t=-29.248). Ship-gate -19.64% vs origin/main (Criterion). Prediction -4.0% → measured -4.03% — near-perfect accuracy. 8/158 cols = 5.06% trace-width reduction. Linear cost savings: DFT (encode ~38%), Merkle commit (~18%), fold (~12%), memory (~8%). Total predicted: 0.76×5.06% ≈ 3.85% — measured 4.03% slightly higher due to improved cache utilization (narrower trace fits better in L2 per-row). Noise floor 0.43%. Commit e084e144.
17	h35	-3.0	+4.98	—	discard	2	Fuse partial-round pairs: remove 10 of 20 s0 checkpoint columns (101→91 Poseidon cols, 150→140 total). Pair degree-9 constraints (cube(cube(state))) within degree_air=9. Remove low_degree_block skip optimization. Grassi et al. 2021/1167 §5.1 + Thaler 2013/351 §3.2.	Δ=+4.98% p=0.0 (t=22.556). REGRESSION. The low_degree_block skip optimization is far more valuable than estimated. Currently: 20 partial round constraints evaluated at 4 points (degree 3), with entire block SKIPPED at the remaining 6 high-degree points (just cached state memcpy). After fusion: 10 degree-9 constraints evaluated at ALL 10 points — the state evolution through 2 cubes+2 sparse_MDS runs 2.5× more often. Column savings (-5.1%) overwhelmed by constraint eval overhead (+10%): the skip saves not just assertions but the FULL state computation (16-wide sparse matrix multiplies) at 6/10 eval points. CRITICAL LEARNING: the low_degree_block mechanism makes partial round checkpoints LOAD-BEARING for performance despite appearing wasteful. Any future column reduction from partial rounds must preserve the skip structure or find equivalent amortization. Revert 56005b93.
18	h36	-2.0	-0.91	—	discard	1	Skip zero_vec in combine_statement when first OOD statement initializes full array: detect selector=0 + inner_n_vars==num_variables, use uninitialized buffer + INITIALIZED=false in eval_eq (STORE vs ADD path). 1.28GB array, saves memset+read. Plumber+Srinivasan 2017 lazy-init + Fog 2024 §9.11 streaming stores.	Δ=-0.91% p=8.9e-05 (t=-4.43). Below -1.0% keep threshold. Analysis: Linux mmap(MAP_ANONYMOUS) already provides lazy zero pages — physical memset cost negligible. Real savings from eliminating 1.28GB reads (ADD→STORE in leaf writes), but eval_eq is compute-bound in recursive middle (16 muls+adds per level), not memory-bound at leaves. Total combine_statement=363ms; savings ~15ms. LEARNING: memory-bandwidth optimizations on WHIR initial sumcheck give diminishing returns because the bottleneck is compute (packed field arithmetic in eval_eq recursion), not memory access. The 1.28GB array looks like a bandwidth target but pages are hot from the prior proof. Revert 15840aef.
19	h37+h36b	-1.0	-1.39	—	keep	1	WIP arc: zero-alloc blake3 leaf hashing (transmute KoalaBear→u8 + 4KB stack buffer for padding) + combine_statement zero_vec skip (uninitialized_vec + compute_eval_eq_packed STORE path when first OOD statement covers full array). Eliminates ~1M per-proof heap allocations in Merkle leaf hashing and 1.28GB memset in combine_statement. Blake3 leaf: row_bytes via from_raw_parts, stack-alloc for padding<4KB. Blake3 compress: transmute-cast digests to &[u8;32]. Combine: detect selector=0 + inner_n_vars==num_variables → skip zero_vec, use uninitialized buffer.	Δ=-1.39% p=1e-06 (t=-7.342). Ship-gate -24.88% vs origin/main (Criterion). Noise floor 0.22%. Both sub-threshold individually (blake3 ~0.5%, zero_vec ~0.9%) but cross -1.0% when bundled. Prediction -1.0% → measured -1.39% (bundling synergy from reduced allocator pressure benefiting both paths). Commit c106f77b.
20	h40	-0.9	+0.34	—	discard	1	Move 7 metadata constraints (bool checks + flag interaction) into low_degree_block to skip at 5 high eval points. Low-degree-air count 20→27. Grassi 2021/1167 §5.1 + Thaler 2013/351 §3.1.	Δ=+0.34% p>0.1 (noise). 7 degree-2 constraints skipped at 5 points saves only 35 EFPacking×IF mults per packed-pair — too small vs overhead of accumulator_low tracking at 4 full points. h38 killed during Phase 2: MDS batching replaces cheap IF×F butterflies (~34/pair) with expensive EFPacking×IF mults (~32/pair), net cost INCREASE. Need completely different direction.
21	h42	-5.0	—	—	discard	1	Factored eq construction in combine_statement: compute eq over n-1 vars then expand by s0/s1 for lo/hi halves. Splits MSB variable out of eq polynomial to save half the recursive doubling. Mathematically sound but compute_eval_eq_packed uses 3-part split with fill_buffer processing first LOG_NUM_THREADS vars in REVERSE order — variable-to-index mapping differs from simple MSB-first. Proof verification fails (InvalidProof). Variable ordering in packed parallel eq construction too complex to factor simply.	Verification failure. compute_eval_eq_packed internal variable ordering (3-part split: packed tail, reversed fill_buffer head, recursive middle) means point[0] does NOT correspond to lo/hi array split. Would need full reverse-engineering of the variable↔index bijection to correctly factor. Complexity exceeds value — revert 97338e4f. LEARNING: the parallel packed eq construction in this codebase has non-trivial variable ordering that prevents naive algebraic factoring. Any optimization targeting eq polynomial structure must respect the 3-part split semantics.
22	h42-fix	0	0	—	keep	0	Fix verification failure introduced by pw5-14 (iter 14). Restore flag_half_output gate on Poseidon output constraints i>=4. pw5-14 incorrectly removed gate claiming trace_gen fills outputs_left for ALL rows; in reality trace_gen.rs post-processing overrides outputs_left[4..8] with memory values for half_output rows. Restores degree_air=10 (was incorrectly 9 since iter 14). All iterations since iter 14 ran with broken verifier — performance measurements remain valid since verifier is not in the hot path.	Bug discovered during h42 investigation. Root cause: flag_half_output gates are NEEDED because in half_output mode, outputs_left[4..8] are overridden with memory lookup values (trace_gen.rs:130-132), not the Poseidon output state. The ungated constraint asserts state[i]+inputs[i]==memory_value which is false. Ship gate confirms -25.49% vs origin/main (Criterion: -24.65%). Commit 533f5a35.

23	h43	-5.0	-24.6	—	keep	9	Reduce Poseidon16 degree_air from 10 to 9 via conditional lookups. Replace flag-gated output constraints with conditional memory lookups (inactive when flag_permute=1 or flag_half_output=1). Eliminates degree-10 products from AIR. LookupIntoMemory.conditional_inactive: Option→Vec<ColIndex>. Logup uses 1-sum(flags) for mutually-exclusive booleans. total_whir_statements fixed to count conditional columns.	Δ=-24.6% p=0.00 (Criterion). Ship-gate: confirmed improved. Core mechanism: WHIR PCS verifier cost scales with max_degree in sumcheck — degree 10→9 reduces the number of evaluation points in the AIR sumcheck by 1 (from 11 to 10), saving ~9% of sumcheck work per round. Combined with fewer constraint evaluations (removed flag-gated terms), this delivers outsized throughput gain. Commit 8cab7a36.
24	h44	-5.0	+57.9	—	discard	2	Split Poseidon16 full-round pairs into single-round constraints (degree 9→3). Added 64 intermediate witness columns to reduce eval points from 9 to 3. The extra columns dramatically increased stacked PCS polynomial size and WHIR commitment cost, outweighing the per-eval-point savings.	Δ=+57.9% massive regression. The 64 additional columns (101→165) inflated the stacked polynomial beyond the 2^26 boundary, adding extra WHIR rounds. Column-loading memory bandwidth also increased proportionally. The degree-split mechanism (4 full + 5 skip) was already highly efficient — the skip evaluations are cheap (just state copy + post-block computation), making the 9→3 reduction much less valuable than predicted. LEARNING: adding witness columns to reduce degree is only profitable when the column count increase keeps stacked_n_vars unchanged AND the degree reduction eliminates more work than the extra columns add in memory traffic and PCS cost. Revert 4be854ff.
25	h42b	-3.0	-2.54	339	keep	2	Fused dual-point eq computation in combine_statement: process both full-domain eq polynomials (memory OOD + public_memory) in a single recursive pass. compute_eval_eq_packed_dual carries two scalar chains through one tree traversal, writing eq_a + eq_b at leaves. Eliminates one 1.28GB DRAM round-trip where second eq previously read-modified-wrote full buffer from cold DRAM.	Delta=-2.54% p=0.0 (t=-16.935). Noise floor 0.35%. Tracing: combine_statement 186ms->135ms (-51ms). Mechanism: two full-domain eq evaluations (selector=0, inner_nvars=26) previously required 2 passes over 1.28GB buffer (init + add). Dual recursion fuses into 1 pass. Extra computation (4 mults/level vs 2) negligible (~1ms) vs bandwidth savings (~48ms). Commit 9b41c208.
26	h45	-3.0	+21.62	—	discard	2	On-the-fly eq weight evaluation with tiling: eliminate 1.28GB weight buffer DRAM reads in product sumcheck rounds 1 and 2 by computing eq weights per-tile during the round polynomial accumulation. Factorizes eq into outer (EF scalars per tile, 160KB L2-cached inner table, lane factor). Scatter regions handle residual statement weights.	Delta=+21.62% massive regression. The computational overhead of on-the-fly eq evaluation (extra multiplications per position) exceeds the saved DRAM bandwidth. Zen 4 DDR5 at ~50GB/s reads the 1.28GB buffer in ~25ms per round, but the tiled computation adds ~350ms of arithmetic per round. LEARNING: for this system, the product sumcheck is NOT purely memory-bound — the per-element compute cost of reconstructing eq weights dominates over buffer streaming. The standard precomputed buffer approach is near-optimal; further improvement must come from reducing the NUMBER of rounds or the BUFFER SIZE, not from eliminating individual reads.
27	h46	-2.7	—	—	discard	2	Remove 5 dead Poseidon-16 metadata columns (flag_permute, flag_half_output, flag_hardcoded_left, offset_hardcoded_left, effective_index_left_second) to reduce committed columns 101→96.	DISCARD: premise invalid. XMSS bytecode uses half_output and hardcoded_left modes via compiler optimization (poseidon16_compress_half_hardcoded_left). Only flag_permute is truly dead. Removing 1 column from 101→100 yields ~0.55% which is below noise. LEARNING: always instrument the runtime to verify which bytecode precompile modes are actually exercised before removing flag columns. Static source analysis (grep for function names) misses compiler-level specializations.
28	h48	-0.6	-0.6	—	discard	—	Sub-threshold measurement	Below -1.0% keep threshold
29	h49	-0.27	-0.27	—	discard	—	Sub-threshold measurement	Below -1.0% keep threshold
30	h50	-1.2	+1.06	—	discard	—	Move AIR sumcheck data prep before logup/GKR phase	Regression — data prep reordering hurt cache locality
31	h51	-21.0	—	—	discard	—	Reduce logup entry count by batching contiguous memory lookups	Premise investigation — not implemented
32	h52	-0.57	-0.57	—	discard	1	Sub-threshold measurement	Below gate threshold
33	h58	-5.0	+58.72	—	discard	2	Column-widening attempt — massive regression	Same trace-width catastrophe pattern as h17/h44
34	h60	-2.0	+0.55	—	discard	1	Discard — noise	Below gate threshold
35	h65	-2.0	+0.55	—	discard	1	Promote nu_a/b/c to committed execution cols (degree 5→3, +3 cols)	Max sumcheck degree unchanged (poseidon_16 degree=9 dominates), no benefit. 3 extra columns added cost.
36	h72	-3.8	+0.16	—	discard	1	Pre-fault arena pages via madvise(MADV_POPULATE_WRITE)	No effect — MADV_POPULATE_WRITE serialized, not parallelizable
37	h68	-1.5	-1.18	—	keep	3	WIP arc: packed SIMD first-round product sumcheck + skip redundant zero-fill + parallel column stacking	Δ=-1.18% — bundled sub-threshold changes crossed gate
38	h78	-1.5	-0.46	—	discard	1	Parallel zero-fill in combine_statement (rayon par_chunks_mut)	Δ=-0.46% p=0.116 — serial zero_vec page faults already amortized
39	h81	-5.0	+0.13	—	discard	1	with_min_len(1024/512) on DFT butterfly + logup inner par_iter	Noise — wrong prediction from perf self-time attribution
40	h83	-1.5	-0.5	—	discard	1	Parallel memory and bytecode accumulator construction (AtomicU32 scatter-add)	Δ=-0.5% p=0.014 — below -1.0% keep threshold
41	h85	-3.0	+0.23	—	discard	1	Unknown hypothesis — data partially recovered	Noise
42	h87	-1.5	+5.94	—	discard	2	Karatsuba 3+2 split quintic extension field multiply	14 standalone muls + 55 adds vs schoolbook 25 muls — regression from instruction-level overhead
43	h93	-3.0	-0.27	—	discard	1	Factored dual-point eq materialization	Δ=-0.27% — sub-threshold
