	32	h55	-3.0	+49.0	371	killed	crates/lean_prover/src/lib.rs,crates/rec_aggregation/zkdsl_implem/whir.py	WHIR_SUBSEQUENT_FOLDING_FACTOR 5→6: reduce per-round FFT/Merkle per Arnon WHIR §5.3	+49% regression (2.464s vs 1.656s). Self-referential compilation jumped 18→19 iterations — adding num_chunks=40 case to decompose_and_verify_merkle_batch grew bytecode past a 2^n threshold. The cascade dominates: larger bytecode → larger execution trace → larger stacked polynomial → more WHIR work. Proof size did shrink (371 vs 414 KiB) but prover cost catastrophic. Closes subsequent folding factor increases. All WHIR folding factor changes now exhausted: initial 7→8 (H14v2, kept), subsequent 5→6 (H55, killed), subsequent 5→7 (H14, killed), subsequent 5→10 (H38, pre-killed).
	33	h57	-2.5	killed	-	killed	-	WHIR_INITIAL_FOLDING_FACTOR 8→9: reduce DFT/Merkle work per Arnon WHIR §5.3	Killed in Phase 1. Initial fold 9 requires num_chunks=64 (=2^9/8) in decompose_and_verify_merkle_batch, which is NOT in the supported list (max is 32). Adding it would trigger the same bytecode cascade that killed H55 (+49%). Closes ALL WHIR folding factor changes — every direction now exhausted.
	34	h59	-3.5	+2.2	-	killed	crates/backend/air/src/lib.rs,crates/backend/air/src/constraint_folder/packed.rs,crates/lean_vm/src/tables/poseidon_16/mod.rs,crates/sub_protocols/src/air_sumcheck.rs	Mid-degree extraction in Poseidon16 AIR sumcheck: interpolate degree-3 intermediate state at skip points per Lagrange §3.1	Warm avg 1.692s vs 1.656s baseline (+2.2% regression). Overhead of Lagrange coefficient computation, state capture (4 boundaries × 16 width × 4 full points), and copy_from_slice restore at 6 skip points exceeds savings from skipping second cube+MDS at those points. The interpolation itself is cheap but the capture/restore bookkeeping adds branch prediction misses and cache pressure in the hot inner loop of compute_raw_poly_degree_split. The optimization targets ~16% of Poseidon16 eval work (~40ms of ~260ms) but adds ~75ms overhead. Closes mid-degree extraction approach for AIR sumcheck.
	35	h58	-2.0	killed	-	killed	-	Fuse first product sumcheck round into combine_statement per Bünz ePrint 2019/1177 §5	Killed in Phase 1. Per-thread eq chunk is 40MB (2^22/8 packed elements × 80B), exceeds L3 per-core budget (4MB). Combined_weights must hit main memory during eq recursive doubling regardless of fusion. The only savings would be avoiding one sequential re-read of combined_weights in sumcheck round 0, but H32 demonstrated that hardware streaming prefetch makes sequential reads free on Zen 4. Net savings <17ms (1%), below noise floor. Closes fused-combine-statement approach entirely (H49/H50/H58 all killed via different mechanisms).
	36	h60	-1.5	killed	-	killed	-	Twiddle-free butterflies in DFT triple-layer groups per Cooley & Tukey 1965 §2	Killed in Phase 1. Twiddle-free butterfly at ind=0 saves 7 out of 12×twiddles_small.len() butterflies per triple-layer group. With twiddles_small.len() ≈ 4K+, savings are <0.2% of DFT work (107ms × 0.002 = 0.2ms). Below noise floor. Additionally, adding branch checks for ind==0 in the hot triple-layer loop would add branch prediction pressure that could negate the savings.
	37	h61	-2.5	killed	-	killed	-	Fuse DFT prep transpose into initial butterfly layers per Frigo & Johnson 2005 §3.2	Killed in Phase 1. The index mapping within an L1-local chunk scatters across 240 blocks with stride 524K (=2^19) in the source polynomial — NOT contiguous. Each butterfly row requires loading from 240 widely-separated positions. Fusing the scatter-gather into the butterfly layers would mean performing the scattered reads during EVERY butterfly pass (6 initial layers), not just once. The current approach (one scatter-gather pass + contiguous DFT) is strictly better than fused scattered DFT. Closes DFT-prep fusion approach.
	38	h63	-2.0	killed	-	killed	-	Increase MAX_NUM_VARIABLES_TO_SEND_COEFFS from 8 to 10 per Setty Spartan §5.2	Killed in Phase 1. MAX_NUM_VARIABLES_TO_SEND_COEFFS is a placeholder in whir.py (line 9), used at 5 locations in the recursion circuit (lines 76, 96, 159, 401, 402). Changing it would trigger the same self-referential compilation cascade that killed H55 (+49%). Closes all WHIR protocol parameter changes — every parameter is wired into the recursion circuit.
	39	h62	-1.5	+0.0	414	killed	crates/backend/sumcheck/src/product_computation.rs	Wire base_ext_packed delayed-reduction kernel into WHIR product sumcheck Round 0 per Barrett 1986 §3	+0.0% (1.6575s avg vs 1.656s baseline, n=4 warm). Wired existing dead-code compute_product_sumcheck_polynomial_base_ext_packed (u128/i128 accumulators with delayed Barrett reduction) for (BasePacked, ExtensionPacked) case. Initial analysis error: assumed EFPacking × PFPacking was 400 base-field muls (25 × 16), but base × extension is only 5 × 16 = 80 base-field muls. The delayed-reduction kernel unpacks SIMD lanes to scalar u64 to accumulate in u128, but the existing generic packed multiply already efficiently pipelines those 80 muls on Zen 4's OoO engine. The kernel trades SIMD parallelism (16-wide) for reduced modular reduction — net zero. Combined with H29 (per-element delayed reduction also null), conclusively closes ALL delayed-reduction approaches for product sumcheck.
	40	h65	-2.5	killed	-	killed	-	Batched Poseidon16 S-box vectorization across 16 state elements per Grassi USENIX21 §3.1	Killed in Phase 1. The constraint folder already uses PFPacking<EF> as the intermediate type (AB::IF). When packed, each state[i] is a 16-wide SIMD register — cube() and MDS operations already process 16 evaluation rows simultaneously via AVX-512. The vectorization is across rows (packing_width=16), not across the 16 state elements. Each state element's cube is already a single 16-wide SIMD operation. No additional vectorization opportunity exists within the constraint evaluation.
	41	h64	-1.5	killed	-	killed	-	2-layer GKR fused backward sumcheck per Thaler §4.6.2, Cormode ITCS12 §4	Killed in Phase 1. The composition of two sum_quotients_2_by_2 operations yields a degree-4 polynomial in the folding variable z (each layer is degree 2; composing two layers multiplies degrees). A degree-4 sumcheck polynomial requires 5 evaluation points instead of 3, changing the proof format. The recursion circuit's GKR verifier expects degree-2 sumcheck polynomials. This is a protocol change that would cascade through the recursion circuit, triggering self-referential compilation changes. Same cascade mechanism as H55/H63. Closes multi-layer GKR fusion approach.
	42	h66	-1.5	killed	-	killed	-	In-place transpose of stacked polynomial to eliminate DFT input buffer per Arnon WHIR §4.2	Killed in Phase 1. The stacked polynomial is passed to WhirConfig::prove (prove_execution.rs:274-278) and used throughout the WHIR opening rounds for folding and evaluation. It cannot be destructively transposed into DFT-ready layout — the WHIR prover needs the original polynomial layout. The DFT input buffer (268MB) is a separate allocation created by prepare_evals_for_fft_unpacked. Closes in-place transpose approach.
